# NIST-based Proton Transport Lookup Table
# Material: Liquid water (density = 1.0 g/cm³)
# Energy range: 0.01 - 250.0 MeV
# Step length: 1.0 mm
#
# Column descriptions:
# 1: Energy [MeV] - Proton kinetic energy
# 2: StoppingPower [MeV/mm] - dE/dx from NIST PSTAR
# 3: LET [keV/um] - Linear Energy Transfer (same as stopping power)
# 4: Range [mm] - CSDA range integrated from stopping power
# 5: ScatteringAngle [rad] - RMS scattering angle per step (Highland formula)
# 6: ScatteringAngle [deg] - RMS scattering angle in degrees
# 7: Beta - v/c relativistic velocity
# 8: ResidualEnergy [MeV] - Energy after 1 mm step
#
Energy_MeV,StoppingPower_MeV_mm,LET_keV_um,Range_mm,ScatteringAngle_rad,ScatteringAngle_deg,Beta,ResidualEnergy_MeV
3.663615e-02,1.361076e+01,1.361076e+01,1.608173e-03,7.585294e+00,4.346054e+02,8.836754e-03,0.000000e+00
3.727594e-02,1.351869e+01,1.351869e+01,1.655339e-03,7.455105e+00,4.271461e+02,8.913576e-03,0.000000e+00
3.792690e-02,1.342725e+01,1.342725e+01,1.703656e-03,7.327151e+00,4.198148e+02,8.991065e-03,0.000000e+00
3.858923e-02,1.333642e+01,1.333642e+01,1.753150e-03,7.201393e+00,4.126094e+02,9.069228e-03,0.000000e+00
3.926313e-02,1.324621e+01,1.324621e+01,1.803853e-03,7.077793e+00,4.055277e+02,9.148070e-03,0.000000e+00
3.994880e-02,1.315660e+01,1.315660e+01,1.855792e-03,6.956315e+00,3.985675e+02,9.227597e-03,0.000000e+00
4.064644e-02,1.306928e+01,1.306928e+01,1.908994e-03,6.836921e+00,3.917267e+02,9.307816e-03,0.000000e+00
4.135627e-02,1.298267e+01,1.298267e+01,1.963487e-03,6.719577e+00,3.850034e+02,9.388732e-03,0.000000e+00
4.207849e-02,1.289664e+01,1.289664e+01,2.019302e-03,6.604247e+00,3.783955e+02,9.470351e-03,0.000000e+00
4.281332e-02,1.281117e+01,1.281117e+01,2.076470e-03,6.490897e+00,3.719010e+02,9.552680e-03,0.000000e+00
4.356099e-02,1.272628e+01,1.272628e+01,2.135024e-03,6.379492e+00,3.655179e+02,9.635724e-03,0.000000e+00
4.432171e-02,1.264194e+01,1.264194e+01,2.194999e-03,6.269999e+00,3.592445e+02,9.719491e-03,0.000000e+00
4.509572e-02,1.255816e+01,1.255816e+01,2.256428e-03,6.162385e+00,3.530787e+02,9.803985e-03,0.000000e+00
4.588325e-02,1.247494e+01,1.247494e+01,2.319347e-03,6.056618e+00,3.470187e+02,9.889214e-03,0.000000e+00
4.668452e-02,1.239227e+01,1.239227e+01,2.383791e-03,5.952667e+00,3.410627e+02,9.975183e-03,0.000000e+00
4.749979e-02,1.231015e+01,1.231015e+01,2.449798e-03,5.850500e+00,3.352090e+02,1.006190e-02,0.000000e+00
4.832930e-02,1.222857e+01,1.222857e+01,2.517407e-03,5.750087e+00,3.294557e+02,1.014937e-02,0.000000e+00
4.917330e-02,1.214753e+01,1.214753e+01,2.586654e-03,5.651397e+00,3.238012e+02,1.023760e-02,0.000000e+00
5.003203e-02,1.206702e+01,1.206702e+01,2.657581e-03,5.554401e+00,3.182437e+02,1.032660e-02,0.000000e+00
5.090576e-02,1.198667e+01,1.198667e+01,2.730229e-03,5.459069e+00,3.127816e+02,1.041637e-02,0.000000e+00
5.179475e-02,1.190686e+01,1.190686e+01,2.804642e-03,5.365374e+00,3.074133e+02,1.050692e-02,0.000000e+00
5.269926e-02,1.182758e+01,1.182758e+01,2.880861e-03,5.273287e+00,3.021371e+02,1.059826e-02,0.000000e+00
5.361957e-02,1.174882e+01,1.174882e+01,2.958932e-03,5.182781e+00,2.969515e+02,1.069039e-02,0.000000e+00
5.455595e-02,1.167060e+01,1.167060e+01,3.038898e-03,5.093828e+00,2.918548e+02,1.078333e-02,0.000000e+00
5.550868e-02,1.159289e+01,1.159289e+01,3.120806e-03,5.006402e+00,2.868457e+02,1.087707e-02,0.000000e+00
5.647805e-02,1.151570e+01,1.151570e+01,3.204703e-03,4.920476e+00,2.819225e+02,1.097162e-02,0.000000e+00
5.746435e-02,1.143902e+01,1.143902e+01,3.290637e-03,4.836025e+00,2.770838e+02,1.106700e-02,0.000000e+00
5.846787e-02,1.136286e+01,1.136286e+01,3.378658e-03,4.753024e+00,2.723282e+02,1.116321e-02,0.000000e+00
5.948892e-02,1.128720e+01,1.128720e+01,3.468817e-03,4.671447e+00,2.676542e+02,1.126025e-02,0.000000e+00
6.052780e-02,1.121202e+01,1.121202e+01,3.561165e-03,4.591270e+00,2.630604e+02,1.135814e-02,0.000000e+00
6.158482e-02,1.113733e+01,1.113733e+01,3.655755e-03,4.512470e+00,2.585455e+02,1.145687e-02,0.000000e+00
6.266030e-02,1.106314e+01,1.106314e+01,3.752643e-03,4.435022e+00,2.541080e+02,1.155647e-02,0.000000e+00
6.375456e-02,1.098944e+01,1.098944e+01,3.851885e-03,4.358903e+00,2.497467e+02,1.165693e-02,0.000000e+00
6.486794e-02,1.091623e+01,1.091623e+01,3.953536e-03,4.284091e+00,2.454603e+02,1.175826e-02,0.000000e+00
6.600075e-02,1.084351e+01,1.084351e+01,4.057656e-03,4.210563e+00,2.412475e+02,1.186048e-02,0.000000e+00
6.715335e-02,1.077127e+01,1.077127e+01,4.164305e-03,4.138297e+00,2.371069e+02,1.196358e-02,0.000000e+00
6.832607e-02,1.069952e+01,1.069952e+01,4.273545e-03,4.067271e+00,2.330374e+02,1.206758e-02,0.000000e+00
6.951928e-02,1.062824e+01,1.062824e+01,4.385437e-03,3.997464e+00,2.290378e+02,1.217248e-02,0.000000e+00
7.073332e-02,1.055765e+01,1.055765e+01,4.500046e-03,3.928855e+00,2.251068e+02,1.227830e-02,0.000000e+00
7.196857e-02,1.048767e+01,1.048767e+01,4.617435e-03,3.861424e+00,2.212433e+02,1.238503e-02,0.000000e+00
7.322538e-02,1.041816e+01,1.041816e+01,4.737671e-03,3.795151e+00,2.174461e+02,1.249269e-02,0.000000e+00
7.450415e-02,1.034910e+01,1.034910e+01,4.860822e-03,3.730015e+00,2.137141e+02,1.260129e-02,0.000000e+00
7.580524e-02,1.028051e+01,1.028051e+01,4.986961e-03,3.665996e+00,2.100461e+02,1.271083e-02,0.000000e+00
7.712906e-02,1.021237e+01,1.021237e+01,5.116159e-03,3.603077e+00,2.064411e+02,1.282132e-02,0.000000e+00
7.847600e-02,1.014468e+01,1.014468e+01,5.248490e-03,3.541237e+00,2.028980e+02,1.293278e-02,0.000000e+00
7.984645e-02,1.007743e+01,1.007743e+01,5.384031e-03,3.480459e+00,1.994156e+02,1.304520e-02,0.000000e+00
8.124085e-02,1.001002e+01,1.001002e+01,5.522863e-03,3.420725e+00,1.959931e+02,1.315860e-02,0.000000e+00
